Package ,	License	,Source of License Information,	Comments,	License/Copyright Links/References
libcommons-io-java ,	Apache 2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/c/commons-io/commons-io_2.4-2/copyright
libcommons-lang3-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/libc/libcommons-lang3-java/libcommons-lang3-java_3.4-1/copyright
libcommons-lang-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/libc/libcommons-lang-java/libcommons-lang-java_2.6-6ubuntu2/copyright
libcommons-logging-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/libc/libcommons-logging-java/libcommons-logging-java_1.2-1+build1/copyright
libcommons-net2-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/libc/libcommons-net2-java/libcommons-net2-java_2.2-2/copyright
libcommons-net-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/libc/libcommons-net-java/libcommons-net-java_3.4-2ubuntu2/copyright
libcommons-parent-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/c/commons-parent/commons-parent_39-3/copyright
libcommons-pool-java ,	Apache-2.0	,WICC4D,	Apache Commons Pool on WICC4D,	NA
libcorosync-common4 ,	BSD-4-Clause-UC	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/c/corosync/corosync_2.3.5-3ubuntu1/copyright
libcpg4 ,	BSD-4-Clause-UC	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/c/corosync/corosync_2.3.5-3ubuntu1/copyright
libcroco3 ,	LGPL	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libc/libcroco/libcroco_0.6.11-1/copyright
libcups2 ,	GPL-2+	,WICC4D,	part of cups,	NA
libcupsfilters1 ,	GPL-2+	,debian.org,	NA,	http://ftp-master.metadata.debian.org/changelogs//main/c/cups-filters/cups-filters_1.11.4-1_copyright
libcupsimage2 ,	GPL-2 with exceptions	,debian.org,	NA,	http://metadata.ftp-master.debian.org/changelogs//main/c/cups/cups_1.5.3-5+deb7u6_copyright
libcurl3 ,	MIT	,WICC4D,	part of curl,	NA
libcurl3-dev ,	MIT-Equivalent	,WICC4D,	Upstream-Name: curl,	NA
libcurl3-gnutls ,	MIT	,WICC4D,	part of curl,	NA
libcurl4-openssl-dev ,	MIT	,WICC4D,	part of curl,	NA
libdatrie1 ,	LGPL-2.1+, GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libd/libdatrie/libdatrie_0.2.10-2/copyright
libdbd-mysql-perl ,	GPL-2.0	,WICC4D,	NA,	NA
libdbi-perl ,	LGPL-2.0	,WICC4D,	part of DBI,	NA
libdbus-1-3 ,	AFL	,WICC4D,	part of dbus,	NA
libdbus-glib-1-2 ,	AFL	,ubuntu.com,	part of dbus-glib,	NA
libdconf1 ,	LGPL-2+, GPL-3+	,ubuntu.com,	Different files are licensed differently. Example:Files: * are LGPL-2+,     Files: dbus-1/dconf-dbus-1.* are GPL-3+,	http://changelogs.ubuntu.com/changelogs/pool/main/d/d-conf/d-conf_0.24.0-2/copyright
libdjvulibre21 ,	GPL-3	,ubuntu.com,	NA,	NA
libdjvulibre-dev ,	 GPL-2.0	,debian.org,	NA,	http://metadata.ftp-master.debian.org/changelogs/main/d/djvulibre/djvulibre_3.5.27.1-7_copyright
libdjvulibre-text ,	 GPL-2.0	,ubuntu.com,	NA,	http://djvu.sourceforge.net/licensing.html
libdns-export162 ,	GPL-2.0+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/b/bind9/bind9_9.10.3.dfsg.P4-8ubuntu1.2/copyright
libdom4j-java ,	DOM4J	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/d/dom4j/dom4j_1.6.1+dfsg.3-2ubuntu1/copyright
libdouble-conversion1v5 ,	BSD-4-Clause	,WICC4D,	part of  double-conversion ,	NA
libdoxia-core-java ,	GPL-2, Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/d/doxia/doxia_1.1.4-3ubuntu1/copyright
libdpkg-perl ,	GPL-2+, GPL-2, BSD-2-clause, public-domain-s-s-d, public-domain-md5	,ubuntu.com,	Most of the source files are provided under GPL-2. However, some files are under other License. Example: Files: scripts/Dpkg/Gettext.pm have public-domain-s-s-d license Files: lib/compat/md5.* are under public-domain-md5,	http://changelogs.ubuntu.com/changelogs/pool/main/d/dpkg/dpkg_1.18.4ubuntu1/copyright
libdrm2 ,	MIT	,openhub.net,	NA,	https://www.openhub.net/p/libdrm
libdrm-amdgpu ,	MIT	,openhub.net,	llvm on openhub.net,	https://www.openhub.net/p?query=libdrm&sort=relevance
libdrm-amdgpu1 ,	Open Source	,ubuntu.com,	No clear-cut licensing information,	http://changelogs.ubuntu.com/changelogs/pool/main/libd/libdrm/libdrm_2.4.67-1/copyright
libdrm-dev ,	Open Source	,ubuntu.com,	No clear-cut licensing information,	http://changelogs.ubuntu.com/changelogs/pool/main/libd/libdrm/libdrm_2.4.67-1/copyright
libdrm-nouveau2 ,	MIT	,openhub.net,	NA,	https://www.openhub.net/p/libdrm
libdrm-radeon1 ,	MIT	,openhub.net,	NA,	https://www.openhub.net/p/libdrm
libeasymock-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/e/easymock/easymock_3.3.1+ds-3/copyright
libecj-java ,	EPL-1.0	,WICC4D,	part of ecj,	NA
libeclipse-aether-java ,	EPL-1.0, Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/e/eclipse-aether/eclipse-aether_1.0.2-1/copyright
libedit2 ,	BSD-3-clause	,WICC4D,	part of libedit,	NA
libegl1-mesa ,	MIT	,WICC4D,	Source package mesa on WICC4D,	http://changelogs.ubuntu.com/changelogs/pool/main/m/mesa/mesa_11.2.0-1ubuntu2/copyright
libelasticsearch1.7-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/e/elasticsearch/elasticsearch_1.7.3+dfsg-3/copyright
libelf1 ,	GPL-2.0+, GPL-3.0+, LGPL-3.0+	,openhub.net,	NA,	https://www.openhub.net/p/elfutils
libelf1  ,	GPL-2.0+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/e/elfutils/elfutils_0.165-3ubuntu1/copyright
libelfg0 ,	LGPL-2	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libe/libelf/libelf_0.8.13-5/copyright
libencode-locale-perl ,	Artistic or GPL-1	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libe/libencode-locale-perl/libencode-locale-perl_1.05-1/copyright
libepoxy0 ,	Expat	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libe/libepoxy/libepoxy_1.3.1-1/copyright
liberror-perl ,	Artistic-1 and GPL-1+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libe/liberror-perl/liberror-perl_0.17-1.2/copyright
libevdev2 ,	X11,GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libe/libevdev/libevdev_1.4.6+dfsg-1/copyright
libexif12 ,	LGPL-2.1, GPL	,ubuntu.com,	Different files are licensed differently. Example: Files: * are under LGPL-2.1 while Files: debian/* are under GPL,	http://changelogs.ubuntu.com/changelogs/pool/main/libe/libexif/libexif_0.6.21-2/copyright
libexif-dev ,	 LGPL-2.1+, BSD-2-Clause	,debian.org,	NA,	http://metadata.ftp-master.debian.org/changelogs/main/libe/libexif/libexif_0.6.21-2_copyright
libexpat1 ,	MITÂ 	,WICC4D,	part of expat ,	NA
libexpat1-dev ,	MIT	,WICC4D,	part of expat,	NA
libexpat1-dev  ,	MIT-Equivalent	,WICC4D,	Source Package expat,	NA
libfakeroot ,	GPL-3+	,ubuntu.com,	part of fakeroot,	http://changelogs.ubuntu.com/changelogs/pool/main/f/fakeroot/fakeroot_1.20.2-1ubuntu1/copyright
libffi6 ,	MIT	,WICC4D,	Source package - libffi,	NA
libffi6  ,	MITÂ 	,WICC4D,	part of libffi ,	NA
libffi-dev ,	MIT	,WICC4D,	NA,	NA
libfftw3-double3 ,	 GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/f/fftw3/fftw3_3.3.4-2ubuntu1/copyright
libfile-fcntllock-perl ,	GPL-1+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libf/libfile-fcntllock-perl/libfile-fcntllock-perl_0.22-3/copyright
libfile-listing-perl ,	Artistic or GPL-1	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libf/libfile-listing-perl/libfile-listing-perl_6.04-1/copyright
libfile-mimeinfo-perl ,	Artistic or GPL-1	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libf/libfile-mimeinfo-perl/libfile-mimeinfo-perl_0.27-1/copyright
libflac8 ,	BSD-3-Clause, GPL-2.0+	,openhub.net,	NA,	https://www.openhub.net/p/flac
libfont-afm-perl ,	Artistic or GPL-1	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libf/libfont-afm-perl/libfont-afm-perl_1.20-1/copyright
libfontconfig1 ,	Webware Python	,WICC4D,	part of fontconfig,	NA
libfontconfig1-dev ,	Webware Python	,WICC4D,	part of fontconfig,	NA
libfontenc1 ,	MIT	,WICC4D,	part of fontconfig,	NA
libfreetype6 ,	Freetype	,WICC4D,	part of freetype,	NA
libfreetype6-dev ,	Freetype	,WICC4D,	part of freetype,	NA
libgbm1 ,	MIT	,WICC4D,	Source package mesa on WICC4D,	NA
libgcc-4.8-dev ,	GPL-3	,WICC4D,	part of gcc,	NA
libgcc-5-dev ,	GPL-3+	,openhub.net,	Part of gcc-5 - GNU Compiler Collection,	https://www.openhub.net/p/gcc
libgconf2-4 ,	LGPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gconf/gconf_3.2.6-3ubuntu6/copyright
libgconf-2-4 ,	LGPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gconf/gconf_3.2.6-3ubuntu6/copyright
libgcrypt11-dev ,	GPL-2, LGPL-2	,source code,	part of libgrypt,	https://gnupg.org/documentation/manuals/gcrypt/
libgd3 ,	BSD-3-Clause	,WICC4D,	NA,	NA
libgdbm3 ,	GPL-3+	,openhub.net,	NA,	https://www.openhub.net/p/libgdbm
libgdk-pixbuf2.0-0 ,	GPL-2	,WICC4D,	part of gdk-pixbuf2,	NA
libgdk-pixbuf2.0-common ,	GPL-2	,WICC4D,	part of gdk-pixbuf3,	NA
libgeoip1 ,	LGPL-2.1, MIT-Equivalent	,WICC4D UI,	Source package geoip,	NA
libgeoip-dev ,	LGPL-2.1, MIT-Equivalent	,WICCD4 UI,	Source package geoip,	NA
libgeronimo-interceptor-3.0-spec-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/g/geronimo-interceptor-3.0-spec/geronimo-interceptor-3.0-spec_1.0.1-3fakesync1/copyright
libgettextpo0 ,	Ruby	,WICC4D,	part of gettext,	NA
libgettextpo-dev ,	Ruby	,WICC4D,	part of gettext,	NA
libgflags2 ,	BSD-Equivalent	,WICC4D UI,	NA,	NA
libgflags-dev ,	BSD-Equivalent	,WICC4D UI,	Source Package gflags,	NA
libgfortran3 ,	GPL-3	,WICC4D,	part of gcc,	NA
libgfortran-4.8-dev ,	GPL-3	,WICC4D,	part of gcc,	NA
libghc-async-dev ,	Open Source	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-async/haskell-async_2.0.2-4build1/copyright
libghc-attoparsec-dev ,	BSD, GPL-3	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-attoparsec/haskell-attoparsec_0.13.0.1-1build1/copyright
libghc-case-insensitive-dev ,	Open Source	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-case-insensitive/haskell-case-insensitive_1.2.0.5-1build1/copyright
libghc-cgi-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-cgi/haskell-cgi_3001.2.2.2-3build1/copyright
libghc-extensible-exceptions-dev ,	GHC	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-extensible-exceptions/haskell-extensible-exceptions_0.1.1.4-6/copyright
libghc-fgl-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-fgl/haskell-fgl_5.5.2.3-1/copyright
libghc-gluraw-dev ,	BSD-3-Clause	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-gluraw/haskell-gluraw_1.5.0.1-3/copyright
libghc-glut-dev ,	BSD-3-Clause	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-glut/haskell-glut_2.7.0.1-3build1/copyright
libghc-hashable-dev ,	Open Source	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-hashable/haskell-hashable_1.2.3.3-3build1/copyright
libghc-haskell-src-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-haskell-src/haskell-haskell-src_1.0.2.0-4build1/copyright
libghc-http-dev ,	BSD-3-Clause	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-http/haskell-http_4000.2.23-1build1/copyright
libghc-hunit-dev ,	Open Source, GPL-2	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-hunit/haskell-hunit_1.3.0.0-1/copyright
libghc-monadcatchio-mtl-dev ,	BSD-3-Clause	,source code,	NA,	http://hackage.haskell.org/package/MonadCatchIO-mtl
libghc-mtl-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-mtl/haskell-mtl_2.2.1-2/copyright
libghc-network-dev ,	BSD-3-Clause	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-network/haskell-network_2.6.2.1-3/copyright
libghc-opengl-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-opengl/haskell-opengl_2.12.0.1-3build1/copyright
libghc-openglraw-dev ,	OpenGLRaw	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-openglraw/haskell-openglraw_2.4.1.0-5/copyright
libghc-pandoc-citeproc-data ,	BSD-3-Clause, CC-BY-SA-3, Expat	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-pandoc-citeproc/haskell-pandoc-citeproc_0.9-1/copyright
libghc-parallel-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-parallel/haskell-parallel_3.2.1.0-1/copyright
libghc-parsec3-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-parsec/haskell-parsec_3.1.9-4build1/copyright
libghc-primitive-dev ,	BSD-3-Clause	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-primitive/haskell-primitive_0.6.1.0-1/copyright
libghc-quickcheck2-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-quickcheck/haskell-quickcheck_2.8.1-2/copyright
libghc-random-dev ,	BSD-style	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-random/haskell-random_1.1-3/copyright
libghc-regex-base-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-regex-base/haskell-regex-base_0.93.2-8/copyright
libghc-regex-compat-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-regex-compat/haskell-regex-compat_0.95.1-8/copyright
libghc-regex-posix-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-regex-posix/haskell-regex-posix_0.95.2-7/copyright
libghc-split-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-split/haskell-split_0.2.2-5/copyright
libghc-stm-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-stm/haskell-stm_2.4.4.1-1/copyright
libghc-syb-dev ,	GHC	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-syb/haskell-syb_0.6-1/copyright
libghc-text-dev ,	BSD	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-text/haskell-text_1.2.2.0-1/copyright
libghc-transformers-dev ,	GHC	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/g/ghc/ghc_7.10.3-7/copyright
libghc-unordered-containers-dev ,	Open Source	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-unordered-containers/haskell-unordered-containers_0.2.5.1-4build1/copyright
libghc-vector-dev ,	BSD-3-Clause	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-vector/haskell-vector_0.11.0.0-1/copyright
libghc-xhtml-dev ,	GHC	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/g/ghc/ghc_7.10.3-7/copyright
libghc-zlib-dev ,	Open Source	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/haskell-zlib/haskell-zlib_0.6.1.1-1/copyright
libgif7 ,	MIT	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/giflib/giflib_5.1.2-0.2/copyright
libgirepository-1.0-1 ,	GPL-2, LGPL-2+	,ubuntu.com,	part of gobject-introspection,	NA
libgl1-mesa-dev ,	MIT, Boost, GPL	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/m/mesa/mesa_11.2.0-1ubuntu2/copyright
libgl1-mesa-dri ,	MIT	,WICC4D,	part of mesa,	NA
libgl1-mesa-glx ,	MIT	,WICC4D,	Source package mesa,	NA
libglapi-mesa ,	MIT	,WICC4D,	part of mesa,	NA
libglib2.0-0 ,	GPL-2/LGPL-2	,WICC4D,	part of glib,	NA
libglib2.0-bin ,	LGPL-2	,WICC4D,	part of glib2,	NA
libglib2.0-data ,	LGPL-2.0	,WICC4D,	part of glib2,	NA
libglib2.0-dev ,	LGPL-2	,WICC4D,	part of glib2,	NA
libglu1-mesa ,	SGI-2, SGI-1.1, LGPL-2, GPL-2.0+	,ubuntu.com,	Different files are licensed differently. Example: Files: include/GL/glu_mangle.h are LGPL-2, Files: src/libnurbs/internals/*.cc are SGI-1.1 etc.,	http://changelogs.ubuntu.com/changelogs/pool/main/libg/libglu/libglu_9.0.0-2.1/copyright
libglu1-mesa-dev ,	SGI-2, SGI-1.1, LGPL-2, GPL-2	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libg/libglu/libglu_9.0.0-2.1/copyright
libgmp10 ,	LGPL	,WICC4D,	Source package - gmp,	NA
libgmp-dev ,	LGPL	,WICC4D,	part of gmp,	NA
libgmpxx4ldbl ,	LGPL	,WICC4D,	part of gmp,	NA
libgnome2-0 ,	LGPL-2.1+	,openhub.net,	part of libgnome,	https://www.openhub.net/p/libgnome/licenses
libgnome-2-0 ,	LGPL-2.1+	,openhub.net,	part of libgnome,	https://www.openhub.net/p/libgnome/licenses
libgnome2-bin ,	LGPL-2.1+	,openhub.net,	part of libgnome,	https://www.openhub.net/p/libgnome/licenses
libgnome2-common ,	LGPL-2.1+	,openhub.net,	NA,	https://www.openhub.net/p/libgnome/licenses
libgnomevfs2-0 ,	LGPL-2.1+	,openhub.net,	part of libgnome,	https://www.openhub.net/p/libgnome/licenses
libgnomevfs2-common ,	LGPL-2.1+	,openhub.net,	part of libgnome,	https://www.openhub.net/p/libgnome/licenses
libgnutls30 ,	GPL-3.0, LGPL-2.1	,openhub.net,	Source package - gnutls,	https://www.openhub.net/p/gnutls
libgnutls-dev ,	LGPL-2	,source code,	part of gnutls,	http://www.gnutls.org/
libgnutlsxx27 ,	LGPL-2	,source code,	part of gnutls,	NA
libgomp1 ,	GPL-3+	,openhub.net,	Part of gcc-5 - GNU Compiler Collection,	https://www.openhub.net/p/gcc
libgoogle-glog0 ,	Apache-2.0	,WICC4D UI,	NA,	NA
libgoogle-glog-dev ,	Apache-2.0	,WICC4D UI,	Source Package Google-Glog,	NA
libgoogle-perftools4 ,	BSD-Equivalent	,WICC4D UI,	Source Package gperftools,	NA
libgpars-groovy-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/libg/libgpars-groovy-java/libgpars-groovy-java_1.2.1-5/copyright
libgpg-error-dev ,	LGPL-2.1	,WICC4D,	NA,	NA
libgphoto2-6 ,	GPL-2.0+, LGPL-2.1+	,openhub.net,	NA,	https://www.openhub.net/p/libgphoto/licenses
libgphoto2-l10n ,	GPL-2.0+, LGPL-2.1+	,openhub.net,	NA,	https://www.openhub.net/p/libgphoto/licenses
libgphoto2-port12 ,	GPL-2.0+, LGPL-2.1+	,openhub.net,	NA,	https://www.openhub.net/p/libgphoto/licenses
libgraphite2 ,	LGPL v2 or later	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/h/harfbuzz/harfbuzz_1.0.1-1ubuntu0.1/copyright
libgraphite2-3 ,	Apache-2.0	,WICC4D,	part of graphite,	NA
libgraphviz-dev ,	EPL-1.0	,WICC4D,	part of graphviz,	NA
libgs9 ,	 GPL-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/ghostscript/ghostscript_9.18~dfsg~0-0ubuntu2/copyright
libgs9-common ,	 GPL-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/ghostscript/ghostscript_9.18~dfsg~0-0ubuntu2/copyright
libgssapi3-heimdal ,	BSD-3-clause	,WICC4D,	part of heimdal kerberos,	NA
libgssapi3-heimdal  ,	BSD-Equivalent	,WICC4D,	NA,	NA
libgssapi-krb5-2 ,	MIT	,WICC4D,	Source package - krb5,	NA
libgssrpc4 ,	BSD-4-clause	,WICC4D,	part of heimdal kerberos,	NA
libgstreamer1.0-0 ,	 LGPL-2+, GPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gstreamer1.0/gstreamer1.0_1.8.0-1/copyright
libgstreamer-plugins-base1.0-0 ,	LGPL-2+,BSD-3-Clause	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/g/gst-plugins-base1.0/gst-plugins-base1.0_1.8.2-1ubuntu0.2/copyright
libgtk2.0-0 ,	LGPL-2.1+	,openhub.net,	part of gtk+2.0,	https://www.openhub.net/p/gtk/licenses
libgtk2.0-bin ,	LGPL-2.1+	,openhub.net,	part of gtk+2.0,	https://www.openhub.net/p/gtk/licenses
libgtk2.0-common ,	LGPL-2.1+	,openhub.net,	NA,	https://www.openhub.net/p/gtk/licenses
libgtk-3-0 ,	LGPL-2.1+	,openhub.net,	NA,	https://www.openhub.net/p/gtk
libgtk-3-bin ,	LGPL-2.1+	,openhub.net,	NA,	https://www.openhub.net/p/gtk
libgtk-3-common ,	LGPL-2.1+	,openhub.net,	NA,	https://www.openhub.net/p/gtk
libguava-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/g/guava-libraries/guava-libraries_19.0-1/copyright
libgudev-1.0-0 ,	LGPL-2+	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libg/libgudev/libgudev_230-2/copyright
libguice-java ,	Apache-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/g/guice/guice_4.0-2/copyright
libgusb2 ,	LGPL-2.1+, GPL-2.0	,ubuntu.com,	Different files are licensed differently. Example: Files: tools/* are under GPL-2.0,     Files: debian/* are under LGPL-2.1,	http://changelogs.ubuntu.com/changelogs/pool/main/libg/libgusb/libgusb_0.2.9-0ubuntu1/copyright
libgvc6 ,	EPL-1.0 ,MIT	,WICC4D,	part of graphviz,	NA
libgvpr2 ,	EPL-1.0 ,MIT	,WICC4D,	part of graphviz,	NA
libhamcrest-java ,	BSD, GPL	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/libh/libhamcrest-java/libhamcrest-java_1.3-5ubuntu1/copyright
libharfbuzz0b ,	MITÂ 	,WICC4D,	part of HarfBuzz,	NA
libharfbuzz-dev ,	MIT	,WICC4D,	part of harfbuzz,	NA
libharfbuzz-gobject0 ,	MIT	,WICC4D,	part of harfbuzz,	NA
libharfbuzz-icu0 ,	MIT	,WICC4D,	part of harfbuzz,	NA
libhawtjni-runtime-java ,	Apache-2.0, BSD-3-clause, Eclipse Public License - v 1.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/universe/h/hawtjni/hawtjni_1.10-1/copyright
libhcrypto4-heimdal ,	BSD-3-Clause	,WICC4D,	part of heimdal -  Heimdal Kerberos,	NA
libhdf5-10 ,	GPL-2.0	,WICC4D,	NA,	NA
libhdf5-8 ,	GPL V2, BSD-Equivalent	,WICC4D UI,	Source Package LIBHDF5,	NA
libhdf5-cpp-11  ,	GPL-2.0	,WICC4D,	NA,	NA
libhdf5-cpp-8 ,	GPL V2, BSD-Equivalent	,WICC4D UI,	Source Package LIBHDF5-CPP,	NA
libhdf5-dev ,	 BSD-Equivalent	,WICC4D UI,	Source Package LIBHDF5,	NA
libhdf5-serial-dev ,	GPL V2, BSD-Equivalent	,WICC4D UI,	Source Package LIBHDF5-SERIAL,	NA
libheadius-options-java ,	Apache-2.0	,ubuntu.com,	NA,	http://packages.ubuntu.com/xenial/all/libheadius-options-java/filelist
libheimbase1-heimdal ,	BSD-3-Clause	,WICC4D,	Source package heimdai -  Heimdal Kerberos,	NA
libheimntlm0-heimdal ,	BSD-3-Clause	,WICC4D,	Source package heimdai -  Heimdal Kerberos,	NA
libhogweed4 ,	LGPL-3, GPL-2, GPL-3	,WICC4D,	part of Nettle. This is a cryptographic library,	NA
libhtml-format-perl ,	Artistic or GPL-1	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libh/libhtml-format-perl/libhtml-format-perl_2.11-2/copyright
libhtml-form-perl ,	Artistic or GPL-1	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libh/libhtml-form-perl/libhtml-form-perl_6.03-1/copyright
libhtml-parser-perl ,	Artistic or GPL-1	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libh/libhtml-parser-perl/libhtml-parser-perl_3.72-1/copyright
libhtml-tagset-perl ,	Artistic or GPL-1	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/libh/libhtml-tagset-perl/libhtml-tagset-perl_3.20-2/copyright
